order_id,order_date,customer_id,product_type,country,selling_price,quantity,quoted_margin_pct
MV-1033,2026-03-28,CUST-113,Vacuum Casting,Spain,22019.96,100,0.25
MV-1034,2026-01-26,CUST-109,CNC Machining,Germany,566.69,2,0.18
MV-1035,2026-01-14,CUST-127,3D Printing,France,13264.65,100,0.25
MV-1036,2026-02-26,CUST-139,Vacuum Casting,Spain,23843.03,100,0.2
MV-1037,2026-03-22,CUST-115,Sheet Metal,Spain,186.43,1,0.25
MV-1038,2026-01-09,CUST-126,Injection Molding,Italy,8597.86,20,0.18
MV-1039,2026-03-03,CUST-100,Sheet Metal,Italy,21708.62,100,0.18
MV-1040,2026-02-25,CUST-131,CNC Machining,Spain,1442.18,5,0.25
MV-1041,2026-01-11,CUST-127,3D Printing,Spain,246.73,2,0.1
MV-1042,2026-01-11,CUST-130,CNC Machining,Netherlands,254.32,1,0.15
MV-1043,2026-01-31,CUST-108,Injection Molding,Germany,8716.08,20,0.12
MV-1044,2026-01-14,CUST-137,CNC Machining,Italy,6112.04,20,0.25
MV-1045,2026-03-14,CUST-102,Sheet Metal,Netherlands,1910.11,10,0.25
MV-1046,2026-01-20,CUST-127,3D Printing,Netherlands,6808.64,50,0.15
MV-1047,2026-02-05,CUST-128,3D Printing,Spain,2761.1,20,0.2
MV-1048,2026-02-05,CUST-138,Sheet Metal,Netherlands,222.2,1,0.2
MV-1049,2026-01-03,CUST-105,Sheet Metal,France,1841.38,10,0.25
MV-1050,2026-02-09,CUST-116,3D Printing,Germany,6267.99,50,0.12
MV-1051,2026-01-13,CUST-112,Sheet Metal,France,936.61,5,0.12
MV-1052,2026-03-02,CUST-130,Injection Molding,Italy,820.59,2,0.1
MV-1053,2026-01-11,CUST-115,CNC Machining,Netherlands,28297.38,100,0.18
MV-1054,2026-02-09,CUST-136,Vacuum Casting,Germany,4310.99,20,0.25
MV-1055,2026-01-21,CUST-100,Injection Molding,Spain,21819.47,50,0.2
MV-1056,2026-02-24,CUST-107,Vacuum Casting,France,13447.76,50,0.12
MV-1057,2026-03-30,CUST-119,Injection Molding,Italy,8785.11,20,0.2
MV-1058,2026-03-28,CUST-136,Vacuum Casting,Germany,26321.38,100,0.25
MV-1059,2026-03-23,CUST-131,CNC Machining,Spain,1312.49,5,0.18
MV-1060,2026-02-28,CUST-105,Sheet Metal,Italy,1116.95,5,0.1
MV-1061,2026-03-08,CUST-123,Vacuum Casting,Spain,12957.97,50,0.18
MV-1062,2026-01-21,CUST-119,Vacuum Casting,Germany,4303.04,20,0.18
MV-1063,2026-02-23,CUST-130,Injection Molding,France,3973.57,10,0.2
MV-1064,2026-03-06,CUST-117,CNC Machining,Italy,15015.53,50,0.15
MV-1065,2026-02-28,CUST-120,3D Printing,France,2448.16,20,0.18
MV-1066,2026-03-05,CUST-102,3D Printing,Netherlands,2906.18,20,0.15
MV-1067,2026-01-10,CUST-130,Sheet Metal,Italy,3849.28,20,0.25
MV-1068,2026-03-21,CUST-104,3D Printing,Italy,234.51,2,0.25
MV-1069,2026-02-07,CUST-122,Sheet Metal,Spain,399.37,2,0.12
MV-1070,2026-03-05,CUST-137,3D Printing,France,1231.43,10,0.25
MV-1071,2026-03-17,CUST-119,Injection Molding,Italy,4039.06,10,0.15
MV-1072,2026-03-26,CUST-125,Sheet Metal,Germany,4260.58,20,0.25
MV-1073,2026-01-29,CUST-140,3D Printing,Netherlands,706.0,5,0.25
MV-1074,2026-03-16,CUST-123,3D Printing,Germany,704.55,5,0.15
MV-1075,2026-03-03,CUST-118,Sheet Metal,Germany,1786.01,10,0.1
MV-1076,2026-02-03,CUST-134,CNC Machining,Spain,1468.38,5,0.25
MV-1077,2026-03-20,CUST-114,CNC Machining,Spain,14309.65,50,0.15
MV-1078,2026-02-28,CUST-123,Vacuum Casting,Spain,5139.11,20,0.25
MV-1079,2026-02-26,CUST-128,3D Printing,Italy,127.22,1,0.25
MV-1080,2026-03-26,CUST-113,Vacuum Casting,Germany,225.08,1,0.15
MV-1081,2026-02-12,CUST-109,Vacuum Casting,Germany,1370.88,5,0.12
MV-1082,2026-03-17,CUST-120,CNC Machining,France,1235.03,5,0.1
MV-1083,2026-02-27,CUST-132,3D Printing,Netherlands,142.2,1,0.25
MV-1084,2026-03-29,CUST-106,Injection Molding,Spain,418.65,1,0.1
MV-1085,2026-02-28,CUST-132,Vacuum Casting,Spain,216.55,1,0.25
MV-1086,2026-02-23,CUST-106,Sheet Metal,Spain,923.82,5,0.25
MV-1087,2026-02-17,CUST-108,Vacuum Casting,Germany,4921.42,20,0.2
MV-1088,2026-03-18,CUST-119,Sheet Metal,Germany,3649.76,20,0.2
MV-1089,2026-03-13,CUST-139,Vacuum Casting,Netherlands,270.32,1,0.2
MV-1090,2026-01-24,CUST-109,Vacuum Casting,Spain,257.9,1,0.12
MV-1091,2026-02-09,CUST-120,Vacuum Casting,Netherlands,219.27,1,0.1
MV-1092,2026-02-23,CUST-117,3D Printing,Netherlands,129.48,1,0.15
MV-1093,2026-01-01,CUST-113,Sheet Metal,France,21226.47,100,0.12
MV-1094,2026-03-06,CUST-135,Sheet Metal,Germany,1732.84,10,0.25
MV-1095,2026-02-07,CUST-107,Injection Molding,Germany,2380.79,5,0.12
MV-1096,2026-03-09,CUST-105,Injection Molding,Italy,20329.43,50,0.15
MV-1097,2026-03-24,CUST-109,3D Printing,Germany,242.2,2,0.15
MV-1098,2026-03-29,CUST-136,Vacuum Casting,Italy,22986.52,100,0.25
MV-1099,2026-02-09,CUST-129,Injection Molding,Germany,479.8,1,0.15
MV-1100,2026-02-27,CUST-136,3D Printing,Italy,2640.98,20,0.18
MV-1101,2026-01-06,CUST-115,Injection Molding,Spain,9063.53,20,0.2
MV-1102,2026-01-09,CUST-121,CNC Machining,Netherlands,12940.55,50,0.18
MV-1103,2026-01-17,CUST-138,CNC Machining,Italy,5715.24,20,0.18
MV-1104,2026-03-07,CUST-123,CNC Machining,Italy,1544.19,5,0.12
MV-1105,2026-03-06,CUST-134,Vacuum Casting,Germany,13342.1,50,0.15
MV-1106,2026-02-22,CUST-123,3D Printing,Spain,2821.72,20,0.15
MV-1107,2026-03-28,CUST-136,Injection Molding,Spain,47337.49,100,0.15
MV-1108,2026-03-24,CUST-130,Sheet Metal,Netherlands,216.68,1,0.25
MV-1109,2026-01-29,CUST-128,Sheet Metal,Germany,1924.09,10,0.1
MV-1110,2026-01-19,CUST-108,CNC Machining,Italy,28970.54,100,0.18
MV-1111,2026-01-15,CUST-118,3D Printing,Italy,122.58,1,0.1
MV-1112,2026-03-22,CUST-132,Vacuum Casting,France,11411.2,50,0.12
MV-1113,2026-03-09,CUST-134,Vacuum Casting,Netherlands,4695.4,20,0.1
MV-1114,2026-01-31,CUST-140,CNC Machining,Netherlands,12375.29,50,0.15
MV-1115,2026-01-18,CUST-104,Injection Molding,Germany,1926.28,5,0.12
MV-1116,2026-02-06,CUST-122,CNC Machining,Italy,1487.25,5,0.1
MV-1117,2026-02-17,CUST-133,Sheet Metal,Germany,8763.1,50,0.18
MV-1118,2026-02-09,CUST-128,Vacuum Casting,Spain,476.6,2,0.25
MV-1119,2026-01-10,CUST-140,Injection Molding,Italy,9230.59,20,0.25
MV-1120,2026-03-19,CUST-109,Injection Molding,Italy,2357.85,5,0.18
