order_id,material_cost,production_cost,packaging_cost,shipping_cost,total_cost
MV-1085,70.33,61.79,37.57,336.78,230.19
MV-1086,344.19,242.43,33.71,38.24,658.57
MV-1087,1610.3,1128.47,53.68,208.23,3000.68
MV-1088,1186.46,755.17,15.41,189.07,3670.67
MV-1089,95.35,57.33,19.02,160.54,332.24
MV-1090,96.84,49.26,36.52,95.24,277.86
MV-1091,74.71,40.78,14.08,108.62,238.19
MV-1092,34.35,33.85,34.33,153.43,255.96
MV-1093,5652.85,4126.39,34.87,106.13,9920.24
MV-1094,386.42,503.46,53.11,135.15,1078.14
MV-1095,759.23,666.25,55.99,37.63,1519.1
MV-1096,7006.72,3845.63,41.66,126.12,11020.13
MV-1097,76.63,65.69,42.78,55.43,240.53
MV-1098,6674.41,5431.04,41.57,179.27,12326.29
MV-1099,111.45,136.12,52.76,143.0,487.23
MV-1100,985.71,618.16,50.55,187.48,1841.9
MV-1101,2521.69,2629.81,29.37,174.89,5355.76
MV-1102,4345.4,3348.86,55.32,309.78,13630.75
MV-1103,1557.72,1116.39,45.14,209.42,2928.67
MV-1104,424.15,419.93,19.6,220.0,1083.68
MV-1105,4254.6,3357.8,17.71,56.17,7686.28
MV-1106,974.64,587.14,21.96,213.12,1796.86
MV-1107,14223.26,10898.95,18.1,59.94,25200.25
MV-1108,77.18,46.41,48.16,74.56,246.31
MV-1109,538.43,435.5,14.08,64.91,1052.92
MV-1110,7016.86,7667.47,32.43,21.05,28551.79
MV-1111,39.5,31.23,13.14,187.34,271.21
MV-1112,2513.32,2537.14,38.53,57.46,5146.45
MV-1113,1386.18,1203.34,59.05,70.73,2719.3
MV-1114,3420.13,2730.31,42.14,186.08,6378.66
MV-1115,485.26,356.42,56.67,123.08,1021.43
MV-1116,431.17,339.1,31.99,211.3,1013.56
MV-1117,2772.58,2442.11,37.27,84.24,5336.2
MV-1118,138.95,127.36,55.58,142.97,464.86
MV-1119,3437.9,1819.66,40.38,235.06,9447.32
MV-1120,735.24,574.22,29.9,149.91,1489.27
